"gene_target","timepoint","sig_types"
"cdx4",18,19
"cdx4",24,13
"cdx4",36,9
"cdx4-cdx1a",18,18
"cdx4-cdx1a",24,11
"cdx4-cdx1a",36,17
"ctrl-hgfa",48,2
"ctrl-mafba",18,7
"ctrl-mafba",24,1
"ctrl-mafba",36,5
"ctrl-mafba",48,2
"ctrl-met",48,2
"ctrl-noto",18,4
"ctrl-noto",24,3
"ctrl-noto",36,2
"ctrl-noto",48,1
"ctrl-tbx16",18,11
"ctrl-tbx16",24,15
"egr2b",18,10
"egr2b",24,11
"egr2b",36,7
"egr2b",48,5
"epha4a",18,8
"epha4a",24,12
"epha4a",36,6
"epha4a",48,5
"foxd3",36,5
"foxd3",48,11
"foxd3",72,9
"foxi1",48,19
"foxi1",72,9
"hand2",24,5
"hand2",36,4
"hand2",48,7
"hgfa",36,4
"hgfa-mut",48,18
"hgfa-mut",72,17
"hoxb1a",24,8
"hoxb1a",36,14
"hoxb1a",48,12
"mafba",18,9
"mafba",24,8
"mafba",36,13
"mafba",48,12
"mafba-mut",18,10
"mafba-mut",24,4
"mafba-mut",36,9
"mafba-mut",48,11
"met",36,4
"met",48,4
"met-mut",48,1
"noto",18,7
"noto",24,10
"noto",36,14
"noto-mut",18,11
"noto-mut",24,14
"noto-mut",36,11
"noto-mut",48,27
"phox2a",36,7
"phox2a",48,3
"smo",18,16
"smo",24,16
"smo",36,24
"tbx1",24,4
"tbx1",36,2
"tbx1",48,3
"tbx16",18,15
"tbx16",24,16
"tbx16",36,16
"tbx16-msgn1",18,15
"tbx16-msgn1",24,18
"tbx16-msgn1",36,21
"tbx16-mut",18,12
"tbx16-mut",24,15
"tbx16-tbx16l",18,14
"tbx16-tbx16l",24,22
"tbx16-tbx16l",36,19
"tbxta",18,14
"tbxta",24,15
"tbxta",36,17
"tfap2a",36,6
"tfap2a",48,9
"tfap2a",72,1
"tfap2a-foxd3",36,12
"tfap2a-foxd3",48,19
"tfap2a-foxd3",72,14
"wnt3a-wnt8",18,67
"wnt3a-wnt8",24,59
"wnt3a-wnt8",36,44
"zc4h2",24,4
"zc4h2",36,4
"zc4h2",48,4
